Date,"BP, plc",EQT Corporation,"Range Louisiana Operating, LLC",Range Resources Corporation,Southwestern Energy Company,"Rice Energy, Inc.","Ascent Resources, LLC",Gulfport Energy Corporation,Chesapeake Energy Corporation,Anadarko Petroleum Corporation,"Vine Oil & Gas, LP","EXCO Resources, Inc.","GEP Haynesville, LLC","Indigo Minerals, LLC","BHP Billiton, Limited",Exxon Mobil Corporation,Mewbourne Oil Company
Aug 2017,9,8,8,7,7,6,6,6,5,5,4,4,4,4,4,4,3
Jul 2017,9,9,8,7,5,5,5,6,5,6,4,4,4,3,5,4,3
Jul 2017,10,9,7,4,7,6,6,6,5,6,5,4,4,3,5,3,3
Jul 2017,10,9,8,7,6,6,6,6,5,3,5,4,4,3,3,4,3
Jul 2017,10,8,8,7,8,6,6,7,5,6,4,4,4,4,3,3,3
Jun 2017,9,8,8,7,6,5,4,6,4,6,3,3,4,4,4,4,2
Jun 2017,10,8,8,7,9,6,4,5,6,5,3,4,4,4,2,3,2
Jun 2017,9,8,8,7,9,5,5,4,7,5,3,4,4,3,2,3,2
Jun 2017,9,10,8,7,8,6,5,5,7,6,3,3,4,3,2,3,1
Jun 2017,9,10,7,5,7,6,2,4,4,6,2,4,4,3,2,3,3
May 2017,9,9,7,7,7,6,4,4,6,6,3,4,4,3,3,3,3
May 2017,9,7,7,7,6,6,6,8,8,6,3,4,5,3,3,3,2
May 2017,10,7,6,4,5,5,6,8,8,5,4,4,5,4,3,3,4
May 2017,10,8,7,5,4,5,6,6,8,6,4,4,4,4,3,2,5
Apr 2017,10,8,6,5,6,5,3,7,7,5,4,4,3,4,2,3,3
Apr 2017,10,8,5,6,6,3,3,7,6,6,3,4,3,4,1,3,4
Apr 2017,10,8,4,5,5,3,6,8,7,6,3,3,2,4,2,3,5
Apr 2017,12,7,4,6,6,3,4,8,6,6,2,3,2,4,1,3,6
Mar 2017,10,6,4,4,5,4,4,8,8,6,2,3,2,5,1,2,5
Mar 2017,9,7,4,6,5,5,5,8,10,6,2,3,2,5,2,3,3
Mar 2017,10,8,4,4,5,4,4,9,8,4,3,1,3,5,2,3,2
Mar 2017,9,6,4,4,6,4,4,9,7,5,3,1,3,6,2,4,2
Mar 2017,10,6,4,5,6,5,4,6,7,6,4,1,4,5,2,4,2
Feb 2017,10,7,3,5,6,5,4,6,7,5,4,1,5,5,2,5,2
Feb 2017,8,6,3,4,3,4,1,3,5,6,4,1,5,4,2,4,3
Feb 2017,8,4,3,2,6,3,2,5,5,4,4,1,4,4,2,3,4
Feb 2017,8,8,3,4,6,5,3,5,4,6,4,1,4,4,,4,4
Jan 2017,7,8,3,5,4,2,3,4,3,5,4,1,4,4,2,4,3
Jan 2017,8,8,3,2,4,5,2,6,6,5,4,1,4,3,2,4,2
Jan 2017,7,8,1,2,4,5,3,6,5,5,4,,3,3,2,4,2
Jan 2017,6,8,2,1,3,5,2,6,3,5,4,,3,3,2,4,1
Dec 2016,5,9,2,2,4,5,2,5,5,5,4,,2,3,2,4,2
Dec 2016,5,8,2,3,5,5,1,4,6,5,4,,2,4,2,4,3
Dec 2016,4,8,2,3,5,5,3,5,5,4,4,,2,2,1,4,2
Dec 2016,3,8,2,3,5,4,3,5,4,4,4,,2,2,1,3,3
Dec 2016,3,8,1,3,2,3,1,5,3,4,4,,2,3,1,3,2
Nov 2016,3,9,,3,5,5,2,5,5,2,4,,2,4,1,3,3
Nov 2016,3,8,,2,5,4,2,4,4,3,4,,2,3,1,3,3
Nov 2016,4,7,,2,5,4,2,2,4,3,4,,2,3,2,2,3
Nov 2016,4,7,,3,5,3,1,3,5,3,4,,2,3,2,3,2
Oct 2016,4,7,,3,3,6,2,2,6,2,4,,2,2,1,3,1
Oct 2016,4,7,,3,5,4,2,3,6,3,4,,2,2,1,3,
Oct 2016,4,7,,3,3,4,2,3,5,3,4,,2,2,1,3,1
Oct 2016,4,6,,3,2,3,1,4,6,2,4,,2,2,1,3,1
Sep 2016,4,7,,3,5,2,1,4,6,1,4,,2,2,1,2,1
Sep 2016,3,7,,3,4,3,2,3,6,1,4,,2,2,1,3,1
Sep 2016,3,4,,2,5,3,2,3,6,1,4,,2,2,1,2,1
Sep 2016,2,4,,3,5,3,2,3,7,1,3,,,1,1,2,2
Sep 2016,2,5,,3,4,3,1,2,5,,3,,,1,1,2,2
Aug 2016,1,5,,2,3,2,2,2,4,1,3,,,2,1,2,2
Aug 2016,1,3,,3,3,3,2,3,5,1,3,,,2,,3,2
Aug 2016,1,3,,2,3,2,3,3,5,1,3,,,2,,3,1
Aug 2016,2,3,,3,2,2,3,2,5,1,3,,,2,1,3,2
Jul 2016,2,3,,2,2,3,2,2,3,1,3,,,2,1,3,1
Jul 2016,2,3,,3,,3,3,2,4,1,4,,,2,1,3,2
Jul 2016,1,3,,3,,2,2,2,2,1,4,,,2,,2,2
Jul 2016,1,3,,3,,2,2,2,3,1,4,,,3,1,3,2
Jul 2016,1,3,,3,,1,2,2,4,1,4,,,2,1,3,1
Jun 2016,1,2,,3,,2,1,3,4,1,4,,,2,,2,3
Jun 2016,1,3,,1,,2,2,3,4,1,4,,,2,,4,3
Jun 2016,1,3,,2,,2,1,3,5,1,4,1,,2,1,3,3
Jun 2016,,2,,1,,2,1,3,3,1,4,1,,2,,4,3
May 2016,,4,,3,,3,1,3,3,,4,1,,2,,4,3
May 2016,,4,,3,,3,1,3,3,1,4,1,,1,,3,2
May 2016,,4,,3,,3,1,3,3,1,4,1,,1,,4,2
May 2016,,4,,3,,4,2,3,4,1,4,1,,,,4,1
Apr 2016,1,4,,2,,4,2,3,3,1,4,1,,,,4,
Apr 2016,,3,,3,,2,2,3,3,1,4,2,,,,3,
Apr 2016,1,3,,3,,3,2,3,4,,4,,,,,4,2
Apr 2016,2,3,,2,,4,2,3,3,2,4,1,,,,4,2
Apr 2016,1,4,,2,,4,1,3,4,2,4,2,,,,4,3
Mar 2016,2,3,,2,,4,1,2,4,2,4,2,,,,4,2
Mar 2016,4,3,,2,,3,1,3,4,2,4,2,,,1,4,1
Mar 2016,4,3,,2,,5,1,2,4,2,4,2,,,2,4,2
Mar 2016,3,4,,2,,5,1,3,4,2,4,1,,,1,3,2
Feb 2016,3,4,,1,,5,1,3,5,1,4,2,,,,4,2
Feb 2016,2,4,,1,,5,,3,5,2,4,2,,,1,5,2
Feb 2016,2,5,,1,,4,,3,3,2,4,2,,,1,5,2
Feb 2016,4,5,,2,,4,,3,4,2,4,2,,,1,6,2
Jan 2016,3,5,,2,,3,,3,4,3,4,2,,,2,6,3
Jan 2016,4,6,,2,,3,,2,4,4,4,2,,,2,6,3
Jan 2016,5,4,,3,,2,,3,7,4,3,2,,,3,7,2
Jan 2016,5,4,,2,,4,,3,7,5,4,2,,,3,6,2
Jan 2016,5,3,,3,3,4,,3,7,5,4,1,,,3,6,2
Dec 2015,6,4,,3,3,4,,3,7,8,3,2,,,2,6,
Dec 2015,6,6,,2,9,5,,3,7,9,4,3,,,2,4,
Dec 2015,7,6,,2,7,4,,3,6,8,4,2,,,4,7,1
Dec 2015,7,6,,3,7,2,,3,8,9,4,3,,,2,6,1
Nov 2015,8,7,,3,9,5,,3,8,7,4,3,,,2,7,2
Nov 2015,8,6,,3,9,5,,3,8,7,4,2,,,1,5,2
Nov 2015,7,6,,3,8,4,1,3,5,7,4,3,,,,7,2
Nov 2015,6,6,,2,11,5,1,3,9,7,4,3,,,,7,1
Oct 2015,6,5,,3,11,6,1,3,8,9,4,3,,,2,5,
Oct 2015,6,8,,3,11,5,2,2,9,8,4,3,,,2,3,
Oct 2015,5,8,,3,8,5,1,3,8,8,4,3,,,1,4,
Oct 2015,3,8,,2,10,3,2,3,7,9,3,3,,,2,3,
Oct 2015,3,7,,2,11,3,2,3,6,8,1,2,,,5,4,
Sep 2015,3,7,,3,11,2,2,3,8,8,2,2,,,2,2,
Sep 2015,2,7,,4,9,3,1,4,8,8,2,3,,,4,3,
Sep 2015,1,8,,5,9,4,1,4,8,9,2,3,,1,4,4,
Sep 2015,4,10,,5,11,4,1,4,8,9,2,3,,2,5,4,
Aug 2015,6,11,,4,11,2,,3,8,10,1,2,,2,6,4,
Aug 2015,4,11,,4,8,4,,3,6,10,2,3,,2,6,2,
Aug 2015,3,10,,5,11,3,,3,7,10,2,3,,2,7,4,
Aug 2015,4,10,,6,10,4,,2,6,10,2,3,,2,2,4,
Jul 2015,4,9,,7,11,3,1,3,6,10,2,3,,2,1,4,
Jul 2015,3,9,,6,11,3,3,4,9,8,2,3,,3,3,4,
Jul 2015,3,9,,7,10,3,3,4,8,10,2,3,,3,2,6,
Jul 2015,3,9,,6,9,3,2,2,9,11,2,2,,2,,6,
Jul 2015,3,10,,6,10,3,3,2,9,12,2,3,,2,1,6,
Jun 2015,3,10,,5,9,3,3,2,9,12,1,3,,2,2,8,
Jun 2015,3,10,,7,7,2,2,2,7,14,1,2,,2,2,4,
Jun 2015,2,10,,7,9,5,3,3,11,12,1,3,,3,2,6,
Jun 2015,2,12,,7,10,6,3,3,12,14,1,3,,2,4,8,
May 2015,2,11,,8,9,6,4,2,15,13,1,3,,3,3,7,
May 2015,2,12,,7,8,7,5,2,12,13,1,3,,2,2,8,
May 2015,2,11,,9,7,6,3,2,11,13,1,4,,2,,8,
May 2015,4,12,,7,9,6,3,2,14,13,1,3,,2,2,8,
May 2015,3,12,,9,10,6,2,3,14,13,1,3,,2,3,7,1
Apr 2015,3,11,,8,9,6,2,3,16,15,1,4,,2,4,7,1
Apr 2015,4,11,,8,8,6,2,3,14,15,,4,,2,4,5,1
Apr 2015,4,10,,9,7,6,3,3,16,15,,2,,2,6,5,2
Apr 2015,5,11,,9,8,5,3,3,14,14,,3,,1,7,6,2
Mar 2015,3,12,,10,9,5,3,4,18,14,,3,,1,3,6,2
